Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,03-07-2017 13:56,119719148,231,0,0,0,0,0,0,0,0,0,0,0,0,1.929515903,520518.0348,2274525.81,2.07E+07,0,1.20E+08,520518.0348,2274525.81,2.07E+07,0,0,0,0,0,0,0,0,0,0,0,0,1.929515903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.10.9-192.168.10.3-123-123-17,192.168.10.9,123,192.168.10.3,123,17,03-07-2017 13:56,65511209,6,6,288,288,48,48,48,0,48,48,48,0,8.79238849,0.18317476,5955564.455,1.93E+07,6.40E+07,3,6.55E+07,1.31E+07,2.85E+07,6.40E+07,3,6.55E+07,1.31E+07,2.85E+07,6.40E+07,3,0,0,0,0,48,48,0.09158738,0.09158738,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-224.0.0.251-5353-5353-17,192.168.10.12,5353,224.0.0.251,5353,17,03-07-2017 13:57,113976922,267,0,20447,0,153,37,76.58052434,44.14062536,0,0,0,0,179.3959658,2.342579492,428484.6692,3701805.225,4.85E+07,0,1.14E+08,428484.6692,3701805.225,4.85E+07,0,0,0,0,0,0,0,0,0,0,2136,0,2.342579492,0,37,153,76.58052434,44.14062536,1948.394807,0,0,0,0,0,0,0,0,0,76.58052434,76.58052434,0
192.168.10.12-152.2.133.52-123-123-17,192.168.10.12,123,152.2.133.52,123,17,03-07-2017 13:57,67037196,8,8,384,384,48,48,48,0,48,48,48,0,11.45632643,0.238673467,4469146.4,1.43E+07,5.60E+07,44916,6.70E+07,9570142.429,2.05E+07,5.60E+07,992873,6.70E+07,9570155.714,2.05E+07,5.60E+07,991683,0,0,0,0,64,64,0.119336734,0.119336734,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-45.79.11.217-123-123-17,192.168.10.12,123,45.79.11.217,123,17,03-07-2017 13:57,68045057,8,8,384,384,48,48,48,0,48,48,48,0,11.28663909,0.235138314,4536337.133,1.45E+07,5.69E+07,57451,6.80E+07,9712500,2.09E+07,5.70E+07,989295,6.80E+07,9712504.143,2.09E+07,5.70E+07,989348,0,0,0,0,64,64,0.117569157,0.117569157,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-91.189.89.198-123-123-17,192.168.10.12,123,91.189.89.198,123,17,03-07-2017 13:57,70053281,3,3,144,144,48,48,48,0,48,48,48,0,4.111156478,0.085649093,1.40E+07,2.96E+07,6.69E+07,93919,7.00E+07,3.50E+07,4.53E+07,6.70E+07,2960924,7.00E+07,3.50E+07,4.53E+07,6.70E+07,2961041,0,0,0,0,24,24,0.042824547,0.042824547,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-199.199.208.25-123-123-17,192.168.10.12,123,199.199.208.25,123,17,03-07-2017 13:57,70052323,9,9,432,432,48,48,48,0,48,48,48,0,12.3336381,0.256950794,4120724.882,1.36E+07,5.70E+07,50355,7.00E+07,8750237.875,1.95E+07,5.70E+07,1007294,7.00E+07,8750226.125,1.95E+07,5.70E+07,1007146,0,0,0,0,72,72,0.128475397,0.128475397,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-204.11.201.12-123-123-17,192.168.10.12,123,204.11.201.12,123,17,03-07-2017 13:57,69066158,9,9,432,432,48,48,48,0,48,48,48,0,12.50974464,0.26061968,4062715.176,1.36E+07,5.69E+07,96111,6.90E+07,8621227.75,1.96E+07,5.70E+07,971635,6.90E+07,8621247,1.96E+07,5.70E+07,971844,0,0,0,0,72,72,0.13030984,0.13030984,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-192.168.10.3-123-123-17,192.168.10.12,123,192.168.10.3,123,17,03-07-2017 13:57,67987663,6,6,288,288,48,48,48,0,48,48,48,0,8.472125303,0.17650261,6180696.636,2.02E+07,6.70E+07,3,6.80E+07,1.36E+07,2.99E+07,6.70E+07,3,6.80E+07,1.36E+07,2.99E+07,6.70E+07,3,0,0,0,0,48,48,0.088251305,0.088251305,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-108.61.56.35-123-123-17,192.168.10.12,123,108.61.56.35,123,17,03-07-2017 13:57,68014799,8,8,384,384,48,48,48,0,48,48,48,0,11.29166022,0.235242921,4534319.933,1.45E+07,5.70E+07,23512,6.80E+07,9713001.714,2.09E+07,5.70E+07,992802,6.80E+07,9713007.714,2.09E+07,5.70E+07,992612,0,0,0,0,64,64,0.117621461,0.117621461,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-96.126.105.86-123-123-17,192.168.10.12,123,96.126.105.86,123,17,03-07-2017 13:57,72994028,9,9,432,432,48,48,48,0,48,48,48,0,11.83658477,0.246595516,4293766.353,1.41E+07,5.90E+07,23583,7.30E+07,9121277.25,2.02E+07,5.90E+07,1979154,7.30E+07,9121251.25,2.02E+07,5.90E+07,1978719,0,0,0,0,72,72,0.123297758,0.123297758,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-216.218.254.202-123-123-17,192.168.10.12,123,216.218.254.202,123,17,03-07-2017 13:57,72018466,8,8,384,384,48,48,48,0,48,48,48,0,10.66393166,0.222165243,4801231.067,1.47E+07,5.79E+07,80806,7.19E+07,1.03E+07,2.11E+07,5.80E+07,1989417,7.19E+07,1.03E+07,2.11E+07,5.80E+07,1989170,0,0,0,0,64,64,0.111082622,0.111082622,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-129.6.15.28-123-123-17,192.168.10.12,123,129.6.15.28,123,17,03-07-2017 13:57,72017628,8,8,384,384,48,48,48,0,48,48,48,0,10.66405575,0.222167828,4801175.2,1.45E+07,5.70E+07,30160,7.20E+07,1.03E+07,2.06E+07,5.70E+07,1993119,7.20E+07,1.03E+07,2.06E+07,5.70E+07,1993184,0,0,0,0,64,64,0.111083914,0.111083914,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
